Province_State,Country_Region,Date,Fatalities
Thailand,Thailand,01/22/2020,0
Japan,Japan,01/22/2020,0
Singapore,Singapore,01/22/2020,0
Nepal,Nepal,01/22/2020,0
Malaysia,Malaysia,01/22/2020,0
British Columbia,Canada,01/22/2020,0
New South Wales,Australia,01/22/2020,0
Victoria,Australia,01/22/2020,0
Queensland,Australia,01/22/2020,0
Cambodia,Cambodia,01/22/2020,0
Sri Lanka,Sri Lanka,01/22/2020,0
Germany,Germany,01/22/2020,0
Finland,Finland,01/22/2020,0
United Arab Emirates,United Arab Emirates,01/22/2020,0
Philippines,Philippines,01/22/2020,0
India,India,01/22/2020,0
Italy,Italy,01/22/2020,0
Sweden,Sweden,01/22/2020,0
Spain,Spain,01/22/2020,0
South Australia,Australia,01/22/2020,0
Belgium,Belgium,01/22/2020,0
Egypt,Egypt,01/22/2020,0
From Diamond Princess,Australia,01/22/2020,0
Lebanon,Lebanon,01/22/2020,0
Iraq,Iraq,01/22/2020,0
Oman,Oman,01/22/2020,0
Afghanistan,Afghanistan,01/22/2020,0
Bahrain,Bahrain,01/22/2020,0
Kuwait,Kuwait,01/22/2020,0
Algeria,Algeria,01/22/2020,0
Croatia,Croatia,01/22/2020,0
Switzerland,Switzerland,01/22/2020,0
Austria,Austria,01/22/2020,0
Israel,Israel,01/22/2020,0
Pakistan,Pakistan,01/22/2020,0
Brazil,Brazil,01/22/2020,0
Georgia,Georgia,01/22/2020,0
Greece,Greece,01/22/2020,0
North Macedonia,North Macedonia,01/22/2020,0
Norway,Norway,01/22/2020,0
Romania,Romania,01/22/2020,0
Estonia,Estonia,01/22/2020,0
San Marino,San Marino,01/22/2020,0
Belarus,Belarus,01/22/2020,0
Iceland,Iceland,01/22/2020,0
Lithuania,Lithuania,01/22/2020,0
Mexico,Mexico,01/22/2020,0
New Zealand,New Zealand,01/22/2020,0
Nigeria,Nigeria,01/22/2020,0
Western Australia,Australia,01/22/2020,0
Ireland,Ireland,01/22/2020,0
Luxembourg,Luxembourg,01/22/2020,0
Monaco,Monaco,01/22/2020,0
Qatar,Qatar,01/22/2020,0
Ecuador,Ecuador,01/22/2020,0
Azerbaijan,Azerbaijan,01/22/2020,0
Armenia,Armenia,01/22/2020,0
Dominican Republic,Dominican Republic,01/22/2020,0
Indonesia,Indonesia,01/22/2020,0
Portugal,Portugal,01/22/2020,0
Andorra,Andorra,01/22/2020,0
Tasmania,Australia,01/22/2020,0
Latvia,Latvia,01/22/2020,0
Morocco,Morocco,01/22/2020,0
Saudi Arabia,Saudi Arabia,01/22/2020,0
Senegal,Senegal,01/22/2020,0
Argentina,Argentina,01/22/2020,0
Chile,Chile,01/22/2020,0
Jordan,Jordan,01/22/2020,0
Ukraine,Ukraine,01/22/2020,0
Hungary,Hungary,01/22/2020,0
Northern Territory,Australia,01/22/2020,0
Liechtenstein,Liechtenstein,01/22/2020,0
Poland,Poland,01/22/2020,0
Tunisia,Tunisia,01/22/2020,0
Bosnia and Herzegovina,Bosnia and Herzegovina,01/22/2020,0
Slovenia,Slovenia,01/22/2020,0
South Africa,South Africa,01/22/2020,0
Bhutan,Bhutan,01/22/2020,0
Cameroon,Cameroon,01/22/2020,0
Colombia,Colombia,01/22/2020,0
Costa Rica,Costa Rica,01/22/2020,0
Peru,Peru,01/22/2020,0
Serbia,Serbia,01/22/2020,0
Slovakia,Slovakia,01/22/2020,0
Togo,Togo,01/22/2020,0
Malta,Malta,01/22/2020,0
Martinique,Martinique,01/22/2020,0
Bulgaria,Bulgaria,01/22/2020,0
Maldives,Maldives,01/22/2020,0
Bangladesh,Bangladesh,01/22/2020,0
Paraguay,Paraguay,01/22/2020,0
Ontario,Canada,01/22/2020,0
Alberta,Canada,01/22/2020,0
Quebec,Canada,01/22/2020,0
Albania,Albania,01/22/2020,0
Cyprus,Cyprus,01/22/2020,0
Brunei,Brunei,01/22/2020,0
Washington,US,01/22/2020,0
New York,US,01/22/2020,0
California,US,01/22/2020,0
Massachusetts,US,01/22/2020,0
Diamond Princess,US,01/22/2020,0
Grand Princess,US,01/22/2020,0
Georgia,US,01/22/2020,0
Colorado,US,01/22/2020,0
Florida,US,01/22/2020,0
New Jersey,US,01/22/2020,0
Oregon,US,01/22/2020,0
Texas,US,01/22/2020,0
Illinois,US,01/22/2020,0
Pennsylvania,US,01/22/2020,0
Iowa,US,01/22/2020,0
Maryland,US,01/22/2020,0
North Carolina,US,01/22/2020,0
South Carolina,US,01/22/2020,0
Tennessee,US,01/22/2020,0
Virginia,US,01/22/2020,0
Arizona,US,01/22/2020,0
Indiana,US,01/22/2020,0
Kentucky,US,01/22/2020,0
District of Columbia,US,01/22/2020,0
Nevada,US,01/22/2020,0
New Hampshire,US,01/22/2020,0
Minnesota,US,01/22/2020,0
Nebraska,US,01/22/2020,0
Ohio,US,01/22/2020,0
Rhode Island,US,01/22/2020,0
Wisconsin,US,01/22/2020,0
Connecticut,US,01/22/2020,0
Hawaii,US,01/22/2020,0
Oklahoma,US,01/22/2020,0
Utah,US,01/22/2020,0
Burkina Faso,Burkina Faso,01/22/2020,0
Holy See,Holy See,01/22/2020,0
Mongolia,Mongolia,01/22/2020,0
Panama,Panama,01/22/2020,0
Kansas,US,01/22/2020,0
Louisiana,US,01/22/2020,0
Missouri,US,01/22/2020,0
Vermont,US,01/22/2020,0
Alaska,US,01/22/2020,0
Arkansas,US,01/22/2020,0
Delaware,US,01/22/2020,0
Idaho,US,01/22/2020,0
Maine,US,01/22/2020,0
Michigan,US,01/22/2020,0
Mississippi,US,01/22/2020,0
Montana,US,01/22/2020,0
New Mexico,US,01/22/2020,0
North Dakota,US,01/22/2020,0
South Dakota,US,01/22/2020,0
West Virginia,US,01/22/2020,0
Wyoming,US,01/22/2020,0
Hubei,China,01/22/2020,17
Iran,Iran,01/22/2020,0
Korea South,Korea South,01/22/2020,0
France,France,01/22/2020,0
Guangdong,China,01/22/2020,0
Henan,China,01/22/2020,0
Zhejiang,China,01/22/2020,0
Hunan,China,01/22/2020,0
Anhui,China,01/22/2020,0
Jiangxi,China,01/22/2020,0
Shandong,China,01/22/2020,0
Diamond Princess,Cruise Ship,01/22/2020,0
Jiangsu,China,01/22/2020,0
Chongqing,China,01/22/2020,0
Sichuan,China,01/22/2020,0
Heilongjiang,China,01/22/2020,0
Denmark,Denmark,01/22/2020,0
Beijing,China,01/22/2020,0
Shanghai,China,01/22/2020,0
Hebei,China,01/22/2020,0
Fujian,China,01/22/2020,0
Guangxi,China,01/22/2020,0
Shaanxi,China,01/22/2020,0
Yunnan,China,01/22/2020,0
Hainan,China,01/22/2020,0
Guizhou,China,01/22/2020,0
Tianjin,China,01/22/2020,0
Shanxi,China,01/22/2020,0
Gansu,China,01/22/2020,0
Hong Kong,China,01/22/2020,0
Liaoning,China,01/22/2020,0
Jilin,China,01/22/2020,0
Czechia,Czechia,01/22/2020,0
Xinjiang,China,01/22/2020,0
Inner Mongolia,China,01/22/2020,0
Ningxia,China,01/22/2020,0
Taiwan*,Taiwan*,01/22/2020,0
Vietnam,Vietnam,01/22/2020,0
Russia,Russia,01/22/2020,0
Qinghai,China,01/22/2020,0
Macau,China,01/22/2020,0
Moldova,Moldova,01/22/2020,0
Bolivia,Bolivia,01/22/2020,0
Faroe Islands,Denmark,01/22/2020,0
St Martin,France,01/22/2020,0
Honduras,Honduras,01/22/2020,0
Channel Islands,United Kingdom,01/22/2020,0
New Brunswick,Canada,01/22/2020,0
Tibet,China,01/22/2020,0
Congo (Kinshasa),Congo (Kinshasa),01/22/2020,0
Cote d'Ivoire,Cote d'Ivoire,01/22/2020,0
Saint Barthelemy,France,01/22/2020,0
Jamaica,Jamaica,01/22/2020,0
Turkey,Turkey,01/22/2020,0
Gibraltar,United Kingdom,01/22/2020,0
Kitsap WA,US,01/22/2020,0
Solano CA,US,01/22/2020,0
Santa Cruz CA,US,01/22/2020,0
Napa CA,US,01/22/2020,0
Ventura CA,US,01/22/2020,0
Worcester MA,US,01/22/2020,0
Gwinnett GA,US,01/22/2020,0
DeKalb GA,US,01/22/2020,0
Floyd GA,US,01/22/2020,0
Fayette GA,US,01/22/2020,0
Gregg TX,US,01/22/2020,0
Monmouth NJ,US,01/22/2020,0
Burlington NJ,US,01/22/2020,0
Camden NJ,US,01/22/2020,0
Passaic NJ,US,01/22/2020,0
Union NJ,US,01/22/2020,0
Eagle CO,US,01/22/2020,0
Larimer CO,US,01/22/2020,0
Arapahoe CO,US,01/22/2020,0
Gunnison CO,US,01/22/2020,0
Kane IL,US,01/22/2020,0
Monroe PA,US,01/22/2020,0
Philadelphia PA,US,01/22/2020,0
Norfolk VA,US,01/22/2020,0
Arlington VA,US,01/22/2020,0
Spotsylvania VA,US,01/22/2020,0
Loudoun VA,US,01/22/2020,0
Prince George's MD,US,01/22/2020,0
Pottawattamie IA,US,01/22/2020,0
Camden NC,US,01/22/2020,0
Pima AZ,US,01/22/2020,0
Noble IN,US,01/22/2020,0
Adams IN,US,01/22/2020,0
Boone IN,US,01/22/2020,0
Dane WI,US,01/22/2020,0
Pierce WI,US,01/22/2020,0
Cuyahoga OH,US,01/22/2020,0
Weber UT,US,01/22/2020,0
Bennington County VT,US,01/22/2020,0
Carver County MN,US,01/22/2020,0
Charlotte County FL,US,01/22/2020,0
Cherokee County GA,US,01/22/2020,0
Collin County TX,US,01/22/2020,0
Jefferson County KY,US,01/22/2020,0
Jefferson Parish LA,US,01/22/2020,0
Shasta County CA,US,01/22/2020,0
Spartanburg County SC,US,01/22/2020,0
Harrison County KY,US,01/22/2020,0
Johnson County IA,US,01/22/2020,0
Berkshire County MA,US,01/22/2020,0
Davidson County TN,US,01/22/2020,0
Douglas County OR,US,01/22/2020,0
Fresno County CA,US,01/22/2020,0
Harford County MD,US,01/22/2020,0
Hendricks County IN,US,01/22/2020,0
Hudson County NJ,US,01/22/2020,0
Johnson County KS,US,01/22/2020,0
Kittitas County WA,US,01/22/2020,0
Manatee County FL,US,01/22/2020,0
Marion County OR,US,01/22/2020,0
Okaloosa County FL,US,01/22/2020,0
Polk County GA,US,01/22/2020,0
Riverside County CA,US,01/22/2020,0
Shelby County TN,US,01/22/2020,0
St. Louis County MO,US,01/22/2020,0
Suffolk County NY,US,01/22/2020,0
Ulster County NY,US,01/22/2020,0
Volusia County FL,US,01/22/2020,0
Fairfax County VA,US,01/22/2020,0
Rockingham County NH,US,01/22/2020,0
Washington D.C.,US,01/22/2020,0
Montgomery County PA,US,01/22/2020,0
Alameda County CA,US,01/22/2020,0
Broward County FL,US,01/22/2020,0
Lee County FL,US,01/22/2020,0
Pinal County AZ,US,01/22/2020,0
Rockland County NY,US,01/22/2020,0
Saratoga County NY,US,01/22/2020,0
Charleston County SC,US,01/22/2020,0
Clark County WA,US,01/22/2020,0
Cobb County GA,US,01/22/2020,0
Davis County UT,US,01/22/2020,0
El Paso County CO,US,01/22/2020,0
